Switch , X-axis, Y-axis
1, 508, 527
1, 508, 528 
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 507, 528
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 528
1, 508, 528
1, 507, 527
1, 508, 527
1, 507, 527
1, 508, 527
1, 508, 528
1, 507, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 507, 527
1, 507, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 507, 528
1, 507, 527
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 527
1, 507, 528
1, 508, 527
1, 508, 528
1, 508, 527
1, 507, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 507, 527
1, 507, 528
1, 508, 527
1, 508, 527
1, 507, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 509, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 528
1, 507, 528
1, 508, 527
1, 507, 527
1, 507, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 527
1, 507, 527
1, 508, 528
1, 508, 527
1, 508, 528
1, 508, 527
1, 508, 528
1, 508, 527
1, 508, 528
1, 507, 528
1, 508, 527
1, 508, 527
1, 507, 527
1, 507, 528
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 507, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 527
1, 507, 527
1, 508, 528
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 507, 528
1, 507, 527
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 529
1, 507, 527
1, 508, 527
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 527
1, 507, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 507, 527
1, 508, 527
1, 507, 528
1, 508, 527
1, 508, 526
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 502, 525
1, 504, 524
1, 507, 528
1, 507, 528
1, 507, 527
1, 505, 526
1, 507, 527
1, 508, 528
1, 507, 527
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 507, 528
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 507, 527
1, 507, 526
1, 504, 525
1, 507, 527
1, 507, 466
1, 505, 526
1, 505, 525
1, 505, 525
1, 505, 524
1, 505, 524
1, 504, 522
1, 503, 523
1, 503, 523
1, 503, 523
1, 503, 523
1, 503, 523
1, 503, 523
1, 503, 523
1, 503, 522
1, 503, 523
1, 502, 522
1, 501, 520
1, 500, 518
1, 496, 515
1, 494, 514
1, 492, 512
1, 486, 516
1, 508, 528
1, 508, 527
1, 508, 529
1, 508, 527
1, 508, 527
1, 507, 528
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 529
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 527
1, 507, 528
1, 508, 527
1, 508, 527
1, 509, 528
1, 508, 527
1, 507, 527
1, 508, 528
1, 508, 527
1, 507, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 507, 528
1, 507, 527
1, 508, 527
1, 507, 527
1, 508, 527
1, 507, 527
1, 508, 527
1, 507, 527
1, 508, 527
1, 508, 527
1, 507, 527
1, 507, 527
1, 508, 527
1, 507, 527
1, 507, 527
1, 508, 528
1, 508, 527
1, 507, 527
1, 507, 527
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 509, 527
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 527
1, 507, 527
1, 507, 527
1, 507, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 528
1, 509, 527
